"Date","Price","Open","High","Low","Vol.","Change %"
"31-10-2025","420.35","420.50","426.40","418.20","18.60M","0.38%"
"30-10-2025","418.75","421.60","421.70","416.15","12.94M","-0.68%"
"29-10-2025","421.60","418.20","422.20","416.05","11.47M","0.89%"
"28-10-2025","417.90","420.50","421.65","415.90","17.16M","-0.65%"
"27-10-2025","420.65","417.00","422.70","416.60","11.60M","0.92%"
"24-10-2025","416.80","415.95","417.95","413.45","14.94M","0.20%"
"23-10-2025","415.95","416.00","420.45","413.55","24.31M","0.75%"
"21-10-2025","412.85","413.50","413.95","412.35","1.14M","-0.05%"
"20-10-2025","413.05","412.55","414.85","411.30","13.08M","0.22%"
"17-10-2025","412.15","405.35","413.85","405.25","21.07M","1.73%"
"16-10-2025","405.15","401.00","406.00","399.55","22.96M","1.31%"
"15-10-2025","399.90","398.00","400.85","397.25","16.04M","0.78%"
"14-10-2025","396.80","400.00","400.85","396.20","10.29M","-0.61%"
"13-10-2025","399.25","400.00","400.95","398.55","9.51M","-0.88%"
"10-10-2025","402.80","400.45","403.85","399.50","15.09M","0.73%"
"09-10-2025","399.90","399.00","401.40","398.95","15.66M","0.04%"
"08-10-2025","399.75","400.00","401.75","398.00","8.40M","-0.01%"
"07-10-2025","399.80","402.50","402.60","399.50","12.30M","-0.24%"
"06-10-2025","400.75","403.00","403.90","399.80","13.99M","-0.88%"
"03-10-2025","404.30","404.90","405.50","402.30","16.99M","-0.32%"
"01-10-2025","405.60","402.35","406.00","399.75","17.64M","1.01%"
"30-09-2025","401.55","406.75","406.75","400.40","9.47M","-1.40%"
"29-09-2025","407.25","406.90","408.00","403.20","19.72M","0.53%"
"26-09-2025","405.10","400.10","405.90","399.80","14.41M","1.25%"
"25-09-2025","400.10","401.45","403.00","398.00","22.01M","-0.22%"
"24-09-2025","401.00","403.20","404.65","400.70","12.38M","-0.55%"
"23-09-2025","403.20","407.10","408.10","402.10","14.94M","-0.92%"
"22-09-2025","406.95","410.65","411.00","406.05","8.93M","-0.90%"
"19-09-2025","410.65","411.55","412.60","408.95","19.51M","-0.22%"
"18-09-2025","411.55","411.35","413.05","410.10","15.65M","0.55%"
"17-09-2025","409.30","413.95","414.60","408.05","14.11M","-0.92%"
"16-09-2025","413.10","413.20","414.35","412.00","8.24M","0.11%"
"15-09-2025","412.65","413.05","414.30","411.75","5.71M","-0.27%"
"12-09-2025","413.75","415.35","417.05","412.85","7.80M","-0.31%"
"11-09-2025","415.05","413.05","416.70","412.45","8.27M","0.48%"
"10-09-2025","413.05","411.00","413.70","408.95","9.25M","0.73%"
"09-09-2025","410.05","408.50","410.95","407.40","8.83M","0.61%"
"08-09-2025","407.55","407.45","410.55","406.80","7.42M","0.05%"
"05-09-2025","407.35","416.90","417.00","404.40","16.00M","-2.06%"
"04-09-2025","415.90","423.95","427.00","415.00","27.27M","1.01%"
"03-09-2025","411.75","408.50","413.25","407.30","12.94M","1.23%"
"02-09-2025","406.75","406.55","407.85","404.45","19.81M","0.22%"
"01-09-2025","405.85","409.75","410.20","405.00","12.27M","-0.95%"
"29-08-2025","409.75","402.00","410.45","401.90","25.26M","2.21%"
"28-08-2025","400.90","404.50","404.50","400.00","12.47M","-0.61%"
"26-08-2025","403.35","399.30","405.40","398.40","13.72M","1.00%"
"25-08-2025","399.35","399.00","400.55","396.25","10.44M","0.26%"
"22-08-2025","398.30","406.00","406.50","397.50","13.09M","-1.79%"
"21-08-2025","405.55","406.05","406.85","403.35","15.03M","-0.12%"
"20-08-2025","406.05","409.10","410.25","405.45","18.19M","-0.75%"
"19-08-2025","409.10","406.35","409.40","404.50","16.68M","0.69%"
"18-08-2025","406.30","413.00","413.70","404.85","30.95M","-1.25%"
"14-08-2025","411.45","414.25","415.05","411.00","9.58M","-0.64%"
"13-08-2025","414.10","417.20","417.50","413.60","10.87M","-0.54%"
"12-08-2025","416.35","417.00","419.80","415.30","13.64M","-0.12%"
"11-08-2025","416.85","414.50","417.00","414.00","8.51M","0.57%"
"08-08-2025","414.50","413.90","415.35","412.95","9.81M","0.22%"
"07-08-2025","413.60","412.00","414.75","411.65","11.51M","0.39%"
"06-08-2025","412.00","414.15","415.00","410.50","9.08M","-0.52%"
"05-08-2025","414.15","417.20","417.95","413.00","8.50M","-0.65%"
"04-08-2025","416.85","420.20","422.50","415.10","18.35M","0.10%"
"01-08-2025","416.45","412.40","419.35","411.80","14.32M","1.09%"
"31-07-2025","411.95","405.95","414.00","405.55","19.36M","1.07%"
"30-07-2025","407.60","409.00","409.30","405.75","10.92M","-0.21%"
"29-07-2025","408.45","410.00","411.40","408.00","6.81M","-0.35%"
"28-07-2025","409.90","410.80","410.85","408.60","8.12M","0.12%"
"25-07-2025","409.40","410.00","410.25","407.75","5.82M","-0.13%"
"24-07-2025","409.95","415.85","415.85","409.45","9.01M","-1.20%"
"23-07-2025","414.95","417.10","417.90","414.00","12.20M","-0.25%"
"22-07-2025","416.00","420.10","420.40","415.20","9.87M","-0.98%"
"21-07-2025","420.10","422.00","422.75","418.40","4.82M","-0.63%"
"18-07-2025","422.75","425.20","425.20","420.10","6.73M","-0.28%"
"17-07-2025","423.95","425.80","425.90","423.00","7.24M","-0.15%"
"16-07-2025","424.60","422.10","425.45","420.30","9.78M","0.59%"
"15-07-2025","422.10","420.90","422.40","419.00","8.53M","0.64%"
"14-07-2025","419.40","417.05","419.95","416.55","6.90M","0.62%"
"11-07-2025","416.80","417.00","418.05","415.50","8.58M","-0.01%"
"10-07-2025","416.85","420.30","420.30","416.40","6.22M","-0.62%"
"09-07-2025","419.45","416.20","420.30","415.45","9.93M","0.54%"
"08-07-2025","417.20","416.15","418.10","414.65","6.81M","0.25%"
"07-07-2025","416.15","413.00","417.20","412.00","6.85M","0.87%"
"04-07-2025","412.55","414.90","415.00","411.75","8.26M","-0.19%"
"03-07-2025","413.35","414.00","416.00","411.25","14.19M","0.10%"
"02-07-2025","412.95","416.90","416.90","411.70","15.99M","-0.52%"
"01-07-2025","415.10","417.00","418.85","414.90","13.67M","-0.32%"
"30-06-2025","416.45","419.80","420.75","415.80","12.32M","-0.53%"
"27-06-2025","418.65","421.00","422.00","417.80","21.41M","-0.39%"
"26-06-2025","420.30","417.20","420.90","416.25","13.70M","0.95%"
"25-06-2025","416.35","416.40","418.15","415.10","9.95M","0.48%"
"24-06-2025","414.35","416.90","420.65","413.75","16.69M","0.11%"
"23-06-2025","413.90","417.00","417.50","411.75","14.84M","-1.11%"
"20-06-2025","418.55","416.00","419.50","416.00","13.20M","0.61%"
"19-06-2025","416.00","415.65","418.25","414.80","12.60M","0.02%"
"18-06-2025","415.90","417.00","418.45","414.90","8.04M","-0.36%"
"17-06-2025","417.40","418.10","419.05","415.70","9.03M","-0.19%"
"16-06-2025","418.20","414.95","418.90","413.25","7.01M","1.04%"
"13-06-2025","413.90","415.00","419.35","413.50","17.87M","-1.69%"
"12-06-2025","421.00","427.00","427.20","419.55","18.51M","-1.21%"
"11-06-2025","426.15","428.00","428.10","424.85","20.79M","-0.20%"
