"Date","Price","Open","High","Low","Vol.","Change %"
"03-11-2025","1,043.10","1,037.00","1,048.00","1,031.00","4.14M","0.03%"
"31-10-2025","1,042.80","1,052.00","1,069.45","1,041.40","5.32M","-0.90%"
"30-10-2025","1,052.30","1,063.00","1,066.80","1,045.00","4.27M","-1.00%"
"29-10-2025","1,062.95","1,072.00","1,079.15","1,061.25","5.39M","-0.91%"
"28-10-2025","1,072.75","1,078.00","1,092.40","1,063.05","12.32M","-1.07%"
"27-10-2025","1,084.40","1,090.95","1,094.00","1,075.75","7.37M","-0.49%"
"24-10-2025","1,089.75","1,093.50","1,098.60","1,087.40","6.44M","-0.40%"
"23-10-2025","1,094.15","1,090.00","1,102.50","1,083.90","11.14M","0.70%"
"21-10-2025","1,086.50","1,084.90","1,089.00","1,081.00","911.62K","0.51%"
"20-10-2025","1,081.00","1,081.50","1,086.50","1,072.20","5.70M","1.02%"
"17-10-2025","1,070.10","1,056.10","1,076.45","1,056.10","5.76M","0.41%"
"16-10-2025","1,065.75","1,062.00","1,081.10","1,058.85","9.90M","0.55%"
"15-10-2025","1,059.90","1,026.00","1,063.00","1,018.40","10.21M","4.00%"
"14-10-2025","1,019.15","1,040.00","1,042.10","1,011.35","7.67M","-1.70%"
"13-10-2025","1,036.75","1,023.85","1,040.00","1,021.50","7.68M","1.26%"
"10-10-2025","1,023.85","1,018.10","1,027.50","1,017.00","3.71M","-0.02%"
"09-10-2025","1,024.10","1,023.00","1,029.00","1,014.95","4.44M","0.09%"
"08-10-2025","1,023.15","1,012.05","1,028.00","1,012.05","4.45M","0.65%"
"07-10-2025","1,016.55","1,008.90","1,029.50","1,008.90","7.99M","0.76%"
"06-10-2025","1,008.90","993.00","1,023.00","992.10","9.30M","1.93%"
"03-10-2025","989.75","975.00","992.20","972.00","7.69M","0.21%"
"01-10-2025","987.70","991.50","1,000.00","977.75","6.93M","-1.12%"
"30-09-2025","998.90","990.00","1,002.30","989.45","7.18M","0.80%"
"29-09-2025","990.95","990.00","997.80","981.10","5.80M","0.59%"
"26-09-2025","985.10","1,008.05","1,010.50","981.05","9.11M","-2.73%"
"25-09-2025","1,012.75","1,020.00","1,031.10","1,008.00","16.73M","-1.65%"
"24-09-2025","1,029.75","1,021.50","1,036.00","1,020.40","6.43M","0.41%"
"23-09-2025","1,025.50","999.00","1,028.80","999.00","10.23M","1.89%"
"22-09-2025","1,006.50","989.95","1,010.90","989.00","4.25M","1.42%"
"19-09-2025","992.45","991.00","996.00","988.60","6.74M","-0.41%"
"18-09-2025","996.50","1,007.00","1,009.80","990.00","9.74M","-1.09%"
"17-09-2025","1,007.50","1,010.00","1,011.80","1,000.35","7.00M","0.42%"
"16-09-2025","1,003.25","1,005.85","1,015.30","1,000.00","7.60M","-0.65%"
"15-09-2025","1,009.85","999.00","1,025.70","998.10","9.99M","0.66%"
"12-09-2025","1,003.25","972.25","1,004.60","970.85","11.41M","3.40%"
"11-09-2025","970.25","968.00","975.90","965.60","5.98M","0.24%"
"10-09-2025","967.95","951.05","969.65","947.70","6.84M","2.06%"
"09-09-2025","948.40","944.00","949.40","940.00","5.42M","0.43%"
"08-09-2025","944.30","937.60","949.65","935.65","5.66M","0.71%"
"05-09-2025","937.60","942.00","942.35","932.00","5.47M","0.30%"
"04-09-2025","934.75","915.00","948.00","912.25","21.74M","4.29%"
"03-09-2025","896.30","892.70","898.85","880.05","5.49M","0.70%"
"02-09-2025","890.10","895.00","899.55","886.15","6.10M","0.08%"
"01-09-2025","889.35","877.85","894.80","877.85","4.10M","1.31%"
"29-08-2025","877.85","870.85","888.00","870.85","5.67M","0.11%"
"28-08-2025","876.85","870.20","884.50","869.70","8.35M","0.07%"
"26-08-2025","876.25","899.95","901.90","873.50","6.71M","-2.73%"
"25-08-2025","900.80","902.10","908.00","898.15","5.84M","0.70%"
"22-08-2025","894.50","895.00","903.90","892.00","6.42M","-0.12%"
"21-08-2025","895.60","888.00","901.30","884.00","6.70M","0.88%"
"20-08-2025","887.80","900.55","902.00","886.05","5.56M","-1.61%"
"19-08-2025","902.30","905.95","909.90","890.50","5.76M","-0.32%"
"18-08-2025","905.20","875.00","919.65","875.00","16.28M","5.08%"
"14-08-2025","861.45","860.00","866.90","855.45","5.38M","0.17%"
"13-08-2025","860.00","854.55","864.00","849.00","10.12M","0.82%"
"12-08-2025","853.00","877.20","884.90","851.50","8.26M","-2.83%"
"11-08-2025","877.80","877.15","888.30","872.75","5.37M","0.07%"
"08-08-2025","877.15","877.00","888.30","876.00","3.74M","-0.22%"
