"Date","Price","Open","High","Low","Vol.","Change %"
"08-01-2026","359.45","363.30","365.35","358.00","7.35M","-1.07%"
"07-01-2026","363.35","367.05","367.25","359.20","10.68M","-1.50%"
"06-01-2026","368.90","371.50","371.50","360.00","17.49M","-1.24%"
"05-01-2026","373.55","370.35","375.00","369.10","9.59M","0.86%"
"02-01-2026","370.35","369.20","372.90","368.55","7.08M","0.76%"
"01-01-2026","367.55","368.85","371.00","365.55","7.21M","0.05%"
"31-12-2025","367.35","361.75","368.50","360.65","10.44M","1.55%"
"30-12-2025","361.75","358.60","363.95","358.45","13.81M","0.88%"
"29-12-2025","358.60","358.50","362.80","357.85","10.05M","-0.06%"
"26-12-2025","358.80","359.20","360.40","354.70","8.59M","-0.11%"
"24-12-2025","359.20","364.00","364.90","358.55","9.21M","-1.11%"
"23-12-2025","363.25","361.00","366.75","357.65","11.89M","1.14%"
"22-12-2025","359.15","356.25","360.95","353.60","10.80M","1.84%"
"19-12-2025","352.65","347.40","354.80","347.00","74.05M","1.98%"
"18-12-2025","345.80","346.35","347.45","337.70","15.42M","-0.16%"
"17-12-2025","346.35","346.45","350.00","345.40","7.05M","0.26%"
"16-12-2025","345.45","347.15","349.35","343.90","8.39M","-0.49%"
"15-12-2025","347.15","347.45","348.75","343.05","8.17M","-0.09%"
"12-12-2025","347.45","348.00","349.35","344.75","7.24M","0.23%"
"11-12-2025","346.65","343.40","348.20","341.40","6.76M","0.95%"
"10-12-2025","343.40","347.00","347.50","341.95","8.71M","-0.38%"
"09-12-2025","344.70","348.50","348.65","341.70","9.14M","-1.03%"
"08-12-2025","348.30","353.95","356.20","345.80","7.19M","-1.50%"
"05-12-2025","353.60","355.00","356.55","353.00","5.67M","-0.80%"
"04-12-2025","356.45","357.00","359.50","354.30","9.17M","-0.11%"
"03-12-2025","356.85","361.70","361.70","354.10","9.50M","-1.35%"
"02-12-2025","361.75","364.00","364.00","359.60","8.58M","-0.56%"
"01-12-2025","363.80","359.00","365.00","358.70","12.71M","1.96%"
"28-11-2025","356.80","358.00","359.75","355.10","10.91M","-0.28%"
"27-11-2025","357.80","362.00","362.80","356.45","8.87M","-0.40%"
"26-11-2025","359.25","354.45","362.85","354.30","13.13M","1.93%"
"25-11-2025","352.45","358.00","358.10","352.00","12.58M","-1.63%"
"24-11-2025","358.30","362.50","362.85","356.80","12.67M","-1.09%"
"21-11-2025","362.25","359.00","364.25","358.00","10.83M","0.68%"
"20-11-2025","359.80","362.00","364.40","359.25","16.00M","-0.29%"
"19-11-2025","360.85","371.20","371.25","360.35","17.85M","-2.81%"
"18-11-2025","371.30","373.10","374.00","369.15","17.48M","-0.38%"
"17-11-2025","372.70","380.00","380.00","363.00","32.39M","-4.73%"
"14-11-2025","391.20","397.95","399.60","387.30","21.83M","-1.70%"
"13-11-2025","397.95","404.00","404.00","397.40","13.17M","-1.04%"
"12-11-2025","402.15","407.60","411.40","401.90","12.94M","-1.34%"
"11-11-2025","407.60","412.55","413.70","402.65","8.12M","-0.69%"
"10-11-2025","410.45","406.00","412.95","406.00","7.91M","1.17%"
"07-11-2025","405.70","406.70","407.20","401.45","6.93M","-0.53%"
"06-11-2025","407.85","407.15","409.70","405.40","6.86M","0.33%"
"04-11-2025","406.50","417.40","417.50","405.10","8.89M","-2.52%"
"03-11-2025","417.00","414.00","417.85","410.10","8.95M","1.71%"
"31-10-2025","410.00","414.05","417.50","409.05","8.01M","-0.59%"
"30-10-2025","412.45","412.70","419.00","408.10","8.78M","0.27%"
"29-10-2025","411.35","412.50","415.00","407.05","8.49M","-0.04%"
"28-10-2025","411.50","411.30","414.15","408.55","10.33M","0.35%"
"27-10-2025","410.05","404.00","411.40","403.65","10.70M","1.67%"
"24-10-2025","403.30","406.95","408.50","401.00","6.31M","-0.63%"
"23-10-2025","405.85","407.50","408.90","403.60","14.13M","1.00%"
