"Date","Price","Open","High","Low","Vol.","Change %"
"14-10-2025","1,176.80","1,191.80","1,191.80","1,166.60","5.74M","-1.08%"
"13-10-2025","1,189.60","1,171.00","1,193.60","1,167.50","4.14M","0.78%"
"10-10-2025","1,180.40","1,168.00","1,191.70","1,165.20","6.93M","1.11%"
"09-10-2025","1,167.40","1,178.00","1,187.30","1,163.10","7.19M","-1.12%"
"08-10-2025","1,180.60","1,180.10","1,194.80","1,174.10","5.16M","-0.52%"
"07-10-2025","1,186.80","1,212.00","1,212.00","1,184.00","8.62M","-2.14%"
"06-10-2025","1,212.80","1,185.00","1,215.20","1,182.10","20.13M","2.69%"
"03-10-2025","1,181.00","1,171.00","1,188.00","1,169.50","11.10M","1.85%"
"01-10-2025","1,159.50","1,132.50","1,164.80","1,131.00","9.66M","2.47%"
"30-09-2025","1,131.60","1,130.00","1,137.00","1,125.40","8.17M","-0.05%"
"29-09-2025","1,132.20","1,155.40","1,158.30","1,126.70","9.69M","-1.89%"
"26-09-2025","1,154.00","1,161.60","1,169.70","1,148.00","5.62M","-1.08%"
"25-09-2025","1,166.60","1,154.70","1,171.80","1,153.40","11.19M","0.66%"
"24-09-2025","1,158.90","1,168.00","1,172.80","1,154.00","12.81M","-1.02%"
"23-09-2025","1,170.80","1,146.00","1,172.80","1,141.90","16.08M","2.31%"
"22-09-2025","1,144.40","1,136.00","1,147.60","1,131.20","7.69M","0.75%"
"19-09-2025","1,135.90","1,133.00","1,144.10","1,126.60","8.91M","0.26%"
"18-09-2025","1,133.00","1,129.00","1,134.40","1,121.20","5.71M","0.62%"
"17-09-2025","1,126.00","1,121.30","1,128.50","1,116.10","5.59M","0.43%"
"16-09-2025","1,121.20","1,105.70","1,127.10","1,104.00","7.97M","1.52%"
"15-09-2025","1,104.40","1,105.00","1,110.00","1,100.00","3.88M","-0.08%"
"12-09-2025","1,105.30","1,088.40","1,108.70","1,088.40","6.01M","1.65%"
"11-09-2025","1,087.40","1,069.00","1,093.00","1,069.00","5.23M","1.62%"
"10-09-2025","1,070.10","1,058.00","1,074.10","1,055.10","5.24M","1.70%"
"09-09-2025","1,052.20","1,057.50","1,059.00","1,048.70","4.31M","-0.31%"
"08-09-2025","1,055.50","1,055.90","1,063.00","1,054.00","2.26M","-0.04%"
"05-09-2025","1,055.90","1,056.60","1,058.00","1,047.80","2.85M","0.52%"
"04-09-2025","1,050.40","1,058.20","1,062.20","1,047.30","8.09M","-0.41%"
"03-09-2025","1,054.70","1,056.20","1,064.90","1,045.00","8.30M","-0.14%"
"02-09-2025","1,056.20","1,061.50","1,064.90","1,049.00","4.93M","-0.50%"
"01-09-2025","1,061.50","1,047.60","1,064.00","1,047.60","3.19M","1.56%"
"29-08-2025","1,045.20","1,052.10","1,063.00","1,042.50","4.72M","-0.64%"
"28-08-2025","1,051.90","1,057.00","1,059.50","1,047.00","8.56M","0.17%"
"26-08-2025","1,050.10","1,068.00","1,069.80","1,048.00","7.20M","-1.86%"
"25-08-2025","1,070.00","1,073.00","1,074.50","1,068.20","2.71M","-0.08%"
"22-08-2025","1,070.90","1,076.00","1,078.50","1,069.50","3.85M","-0.74%"
"21-08-2025","1,078.90","1,090.00","1,090.00","1,076.40","6.46M","-0.12%"
"20-08-2025","1,080.20","1,081.00","1,083.70","1,077.80","3.03M","-0.28%"
"19-08-2025","1,083.20","1,078.00","1,095.00","1,075.80","5.66M","0.06%"
"18-08-2025","1,082.60","1,080.00","1,090.00","1,079.40","7.96M","1.35%"
"14-08-2025","1,068.20","1,067.00","1,072.40","1,062.00","6.76M","0.21%"
"13-08-2025","1,066.00","1,071.10","1,072.80","1,063.20","4.97M","-0.37%"
"12-08-2025","1,070.00","1,071.10","1,076.60","1,066.30","4.57M","-0.31%"
"11-08-2025","1,073.30","1,058.10","1,075.40","1,052.60","5.45M","1.44%"
"08-08-2025","1,058.10","1,073.00","1,080.40","1,054.20","5.08M","-1.68%"
"07-08-2025","1,076.20","1,067.80","1,079.70","1,064.50","5.32M","0.49%"
"06-08-2025","1,071.00","1,074.00","1,077.70","1,065.60","4.22M","0.02%"
"05-08-2025","1,070.80","1,068.00","1,079.90","1,062.50","5.32M","0.21%"
"04-08-2025","1,068.60","1,064.40","1,070.00","1,059.00","4.47M","0.58%"
"01-08-2025","1,062.40","1,065.00","1,070.90","1,060.00","5.55M","-0.56%"
"31-07-2025","1,068.40","1,066.00","1,081.30","1,063.90","7.63M","-0.46%"
"30-07-2025","1,073.30","1,070.50","1,080.60","1,062.00","8.25M","0.86%"
"29-07-2025","1,064.20","1,070.90","1,078.70","1,055.40","15.60M","-0.88%"
"28-07-2025","1,073.60","1,080.90","1,092.20","1,067.40","9.03M","-1.15%"
"25-07-2025","1,086.10","1,086.10","1,101.00","1,076.20","11.78M","-0.82%"
"24-07-2025","1,095.10","1,104.00","1,105.00","1,089.40","9.90M","-0.88%"
"23-07-2025","1,104.80","1,099.50","1,110.50","1,098.10","6.63M","0.62%"
"22-07-2025","1,098.00","1,102.00","1,110.60","1,095.00","10.00M","-0.15%"
"21-07-2025","1,099.60","1,086.00","1,101.50","1,071.90","15.91M","0.03%"
"18-07-2025","1,099.30","1,090.00","1,115.90","1,086.00","38.05M","-5.22%"
"17-07-2025","1,159.80","1,170.00","1,172.90","1,154.80","5.69M","-0.74%"
"16-07-2025","1,168.40","1,164.90","1,174.00","1,157.10","4.39M","0.21%"
"15-07-2025","1,165.90","1,174.00","1,179.00","1,162.30","4.78M","-0.58%"
"14-07-2025","1,172.70","1,179.00","1,179.90","1,163.00","4.77M","-0.09%"
"11-07-2025","1,173.80","1,162.00","1,175.90","1,160.60","4.47M","0.82%"
"10-07-2025","1,164.30","1,170.10","1,176.60","1,163.00","4.34M","-0.03%"
"09-07-2025","1,164.70","1,160.00","1,171.00","1,158.60","8.67M","-0.06%"
"08-07-2025","1,165.40","1,180.00","1,180.00","1,161.90","9.97M","-0.83%"
"07-07-2025","1,175.10","1,177.60","1,177.60","1,167.60","5.78M","-0.21%"
"04-07-2025","1,177.60","1,174.00","1,179.50","1,162.00","3.93M","0.56%"
"03-07-2025","1,171.10","1,178.00","1,181.00","1,168.00","6.24M","-0.36%"
"02-07-2025","1,175.30","1,180.00","1,181.90","1,172.00","5.47M","0.17%"
"01-07-2025","1,173.30","1,202.00","1,202.00","1,167.00","8.70M","-2.16%"
"30-06-2025","1,199.20","1,228.90","1,236.00","1,193.10","6.56M","-2.11%"
"27-06-2025","1,225.10","1,236.90","1,247.00","1,220.40","6.07M","-0.68%"
"26-06-2025","1,233.50","1,215.20","1,239.00","1,211.20","8.68M","1.66%"
"25-06-2025","1,213.30","1,226.30","1,226.30","1,211.00","4.23M","-0.65%"
"24-06-2025","1,221.20","1,222.90","1,238.40","1,215.60","6.75M","0.58%"
"23-06-2025","1,214.10","1,212.60","1,222.90","1,205.60","2.31M","-0.54%"
"20-06-2025","1,220.70","1,217.50","1,226.00","1,214.20","4.65M","0.26%"
"19-06-2025","1,217.50","1,218.00","1,227.80","1,213.80","4.24M","-0.29%"
"18-06-2025","1,221.00","1,209.80","1,223.30","1,203.90","3.14M","0.49%"
"17-06-2025","1,215.10","1,215.40","1,227.00","1,211.30","4.49M","-0.02%"
"16-06-2025","1,215.40","1,206.10","1,218.00","1,196.00","5.70M","0.80%"
"13-06-2025","1,205.80","1,198.00","1,211.70","1,195.60","3.91M","-0.59%"
"12-06-2025","1,212.90","1,231.00","1,237.10","1,210.80","3.46M","-1.50%"
"11-06-2025","1,231.40","1,232.60","1,241.80","1,228.10","4.14M","-0.11%"
"10-06-2025","1,232.80","1,224.40","1,235.90","1,218.40","7.75M","1.06%"
"09-06-2025","1,219.90","1,212.50","1,224.50","1,206.20","9.14M","2.12%"
"06-06-2025","1,194.60","1,158.90","1,201.20","1,151.20","14.72M","3.07%"
"05-06-2025","1,159.00","1,172.50","1,175.50","1,157.00","10.48M","-1.02%"
"04-06-2025","1,171.00","1,181.80","1,191.30","1,168.60","4.31M","-0.89%"
"03-06-2025","1,181.50","1,195.00","1,198.90","1,174.90","8.16M","-1.08%"
"02-06-2025","1,194.40","1,189.80","1,200.90","1,179.20","3.76M","0.18%"
"30-05-2025","1,192.20","1,201.40","1,208.80","1,189.60","10.00M","-0.79%"
"29-05-2025","1,201.70","1,200.00","1,209.00","1,189.00","7.79M","0.59%"
"28-05-2025","1,194.70","1,195.60","1,202.20","1,191.70","3.53M","-0.08%"
"27-05-2025","1,195.60","1,215.20","1,216.70","1,190.40","7.25M","-1.61%"
"26-05-2025","1,215.20","1,216.20","1,224.20","1,208.70","3.61M","0.42%"
"23-05-2025","1,210.10","1,188.50","1,213.10","1,188.10","3.68M","1.82%"
"22-05-2025","1,188.50","1,196.70","1,196.70","1,177.50","4.80M","-0.78%"
"21-05-2025","1,197.80","1,197.10","1,204.90","1,182.70","3.71M","0.17%"
"20-05-2025","1,195.80","1,208.00","1,210.70","1,192.90","4.72M","-0.58%"
"19-05-2025","1,202.80","1,208.00","1,219.00","1,201.10","4.55M","-0.50%"
"16-05-2025","1,208.80","1,206.00","1,213.30","1,203.20","4.02M","-0.02%"
"15-05-2025","1,209.10","1,197.00","1,217.00","1,185.00","6.71M","1.14%"
"14-05-2025","1,195.50","1,195.90","1,199.40","1,185.90","4.08M","0.16%"
"13-05-2025","1,193.60","1,205.20","1,214.80","1,190.00","5.57M","-0.78%"
